"_id"	"notificationEntry"	"titelHashed"	"textLength"	"date"
"79"	"org.telegram.messenger"	"8009f8b46f1ae74100d5207121f133fcb1cc2e51"	"103"	"1455822099386"
"80"	"org.telegram.messenger"	"8009f8b46f1ae74100d5207121f133fcb1cc2e51"	"18"	"1455822099465"
"81"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"27"	"1455831211316"
"82"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"27"	"1455831211485"
"83"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"98"	"1455831628558"
"84"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"98"	"1455831628633"
"85"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"93"	"1455831828841"
"86"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"93"	"1455831828907"
"87"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"48"	"1455832036666"
"88"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"48"	"1455832036757"
"89"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"3"	"1455832463863"
"90"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"3"	"1455832463939"
"91"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"32"	"1455833150977"
"92"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"32"	"1455833151128"
"93"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"43"	"1455833152942"
"94"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"18"	"1455833152993"
"95"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"74"	"1455833157786"
"96"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"18"	"1455833157829"
"97"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"13"	"1455834878943"
"98"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"13"	"1455834879033"
"99"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"65"	"1455834888784"
"100"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"18"	"1455834888834"
"101"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"2"	"1455834993823"
"102"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"2"	"1455834993909"
"103"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"29"	"1455834999833"
"104"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"18"	"1455834999869"
"105"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"2"	"1455835183831"
"106"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"2"	"1455835183908"
"107"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"6"	"1455835186779"
"108"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"18"	"1455835186804"
"109"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"11"	"1455835189009"
"110"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"18"	"1455835189038"
"111"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"39"	"1455835195824"
"112"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"18"	"1455835195859"
"113"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"4"	"1455835342708"
"114"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"4"	"1455835342755"
"115"	"com.skype.raider"	"485605f9f10de3675a9e30c70ea9069e7059c962"	"45"	"1455895750236"
"116"	"com.skype.raider"	"485605f9f10de3675a9e30c70ea9069e7059c962"	"45"	"1455895750390"
"117"	"com.skype.raider"	"485605f9f10de3675a9e30c70ea9069e7059c962"	"33"	"1455895809481"
"118"	"com.skype.raider"	"485605f9f10de3675a9e30c70ea9069e7059c962"	"33"	"1455895809543"
"119"	"com.skype.raider"	"db569978fbf0f1e05f1a67762c028c34994dbf39"	"9"	"1455900773409"
"120"	"com.skype.raider"	"db569978fbf0f1e05f1a67762c028c34994dbf39"	"9"	"1455900773499"
